N-gram,Frequency
"('job',)",7086
"('issue',)",3143
"('completed',)",3069
"('successfully',)",2551
"('due',)",2242
"('failed',)",1776
"('got',)",1420
"('re-run',)",1414
"('file',)",1251
"('source',)",1045
"('fixed',)",971
"('manually',)",648
"('restarted',)",620
"('rerun',)",607
"('abended',)",597
"('re-started',)",577
"('brj',)",507
"('running',)",504
"('available',)",435
"('query',)",433
"('duplicate',)",423
"('data',)",421
"('self-lock',)",406
"('killed',)",398
"('executed',)",384
"('time',)",365
"('re-executed',)",342
"('connectivity',)",301
"('error',)",281
"('team',)",272
"('tbload',)",272
"('occurred',)",249
"('td',)",247
"('unavailability',)",236
"('lock',)",236
"('end',)",234
"('jobs',)",233
"('batch',)",229
"('run',)",228
"('back',)",228
"('successful',)",214
"('fix',)",196
"('cancelled',)",188
"('day',)",185
"('database',)",176
"('resolved',)",176
"('occured',)",174
"('tdata',)",153
"('login',)",146
"('self',)",142
"('triggered',)",141
"('success',)",141
"('closed',)",141
"('pipe',)",139
"('script',)",138
"('tods',)",137
"(""'s"",)",135
"('wrongly',)",131
"('upgrade',)",129
"('records',)",128
"('re-running',)",125
"('started',)",124
"('issues',)",123
"('released',)",120
"('connection',)",117
"('hence',)",115
"('later',)",113
"('server',)",106
"('ran',)",104
"('reprocessed',)",103
"('outage',)",101
"('files',)",99
"('invalid',)",98
"('count',)",92
"('log',)",91
"('queue',)",88
"('process',)",80
"('receiving',)",79
"('updated',)",79
"('path',)",77
"('previous',)",77
"('error.we',)",76
"('schedule',)",76
"('backend',)",72
"('named-pipe',)",66
"('received',)",64
"('.we',)",64
"('failure',)",64
"('scheduler',)",64
"('stream',)",63
"('mismatch',)",58
"('null',)",58
"('compelted',)",58
"('console',)",58
"('deleteing',)",57
"('duplicates',)",57
"('space',)",55
"('happened',)",54
"('state',)",54
"('environment',)",54
"('liaising',)",52
"('hold',)",51
"('load',)",50
"('processed',)",49
"('name',)",48
"('placed',)",48
"('table',)",47
"('format',)",46
"('timeout',)",46
"(""n't"",)",45
"('marked',)",43
"('weekend',)",43
"('value',)",42
"('requested',)",40
"('kept',)",40
"('bw',)",40
"('dev',)",40
"('dba',)",39
"('extraction',)",39
"('place',)",38
"('liasing',)",38
"('triggering',)",38
"('provided',)",37
"('re-executing',)",37
"('successfull',)",36
"('crm',)",36
"('named',)",34
"('confirmed',)",34
"('releasing',)",33
"('status',)",32
"('corrected',)",32
"('active',)",32
"('entry',)",31
"('release',)",31
"('stuck',)",31
"('instance',)",30
"('stats',)",29
"('spool',)",29
"('db',)",29
"('held',)",28
"('deadline',)",27
"('aborted',)",27
"('i.e',)",27
"('incident',)",26
"('sucecssfully',)",25
"('re-ran',)",25
"('issue.we',)",25
"('connecitivity',)",24
"('today',)",24
"('solved',)",24
"('along',)",24
"('row',)",23
"('trigger',)",23
"('session',)",23
"('get',)",23
"('long',)",22
"('oracle',)",22
"('duplicates/null',)",22
"('moved',)",22
"('reexecuted',)",21
"('oraacle',)",21
"('trigerred',)",21
"('issue.on',)",21
"('manaully',)",21
"('values/invalid',)",20
"('log-in',)",20
"('update',)",20
"('fixe',)",20
"('hadoop',)",19
"('box',)",19
"('reduced',)",19
"('hanged',)",19
"('removed',)",19
"('cleared',)",19
"('restart',)",19
"('next',)",18
"('locked',)",18
"('closing',)",18
"('time-out',)",17
"('delay',)",17
"('reraun',)",17
"('ods',)",16
"('placing',)",16
"('collect',)",16
"('avaialble',)",16
"('timed',)",16
"('succesfully',)",16
"('still',)",16
"('manual',)",16
"('clear',)",16
"('deleting',)",15
"('support',)",15
"('date',)",15
"('piped',)",15
"('values',)",14
"('re-execution',)",14
"('incorrect',)",14
"('warranty',)",14
"('progressing',)",14
"('ftp',)",14
"('done',)",13
"('tbload.it',)",13
"('bee',)",13
"('reached',)",13
"('ems',)",13
"('alert',)",12
"('r',)",12
"('successfulll',)",12
"('arrival',)",12
"('incorrectly',)",12
"('wnash',)",12
"('access',)",12
"('updating',)",12
"('overrunning',)",12
"('audit',)",12
"('transfer',)",12
"('schedules',)",11
"('days',)",11
"('provide',)",11
"('f',)",11
"('issue.it',)",11
"('query.we',)",11
"('changed',)",11
"('deleted',)",11
"('unavailability.this',)",11
"('recieved',)",11
"('validation',)",11
"('rerunning',)",10
"('falied',)",10
"('succcessfully',)",10
"('availability',)",10
"('since',)",10
"('re-processed',)",10
"('raised',)",10
"('.this',)",10
"('customer',)",10
"('issue.didnt',)",10
"('brj.re-executed',)",10
"('put',)",10
"('avoid',)",10
"('completion',)",10
"('required',)",10
"('ans',)",10
"('didnt',)",9
"('re-',)",9
"('issuee',)",9
"('contacted',)",9
"('late',)",9
"('target',)",9
"('arrived',)",9
"('volume',)",9
"('disabled',)",9
"('request',)",9
"('another',)",9
"('datafix',)",9
"('unavailaibilty',)",9
"('base',)",9
"('tns',)",9
"('listener',)",9
"('insert',)",9
"('informed',)",9
"('unavailable',)",8
"('field.we',)",8
"('system',)",8
"('longer',)",8
"('side',)",8
"('huge',)",8
"('copied',)",8
"('brj.this',)",8
"('using',)",8
"('open',)",8
"('hub',)",8
"('alerts',)",8
"('past',)",7
"('backlogs',)",7
"('duplicate/null/invalid',)",7
"('dead',)",7
"('removing',)",7
"('complete',)",7
"('link',)",7
"('1',)",7
"('hr',)",7
"('delayed',)",7
"('delay.success',)",7
"('action',)",7
"('reran',)",6
"('wass',)",6
"('dependent',)",6
"('user',)",6
"('issue.the',)",6
"('connectivty',)",6
"('area',)",6
"('..',)",6
"('rsolved',)",6
"('users',)",6
"('correct',)",6
"('development',)",6
"('warnings',)",6
"('increasing',)",6
"('covered',)",5
"('low',)",5
"('closure',)",5
"('character',)",5
"('batches',)",5
"('part',)",5
"('level',)",5
"('missing',)",5
"('leads',)",5
"('tool',)",5
"('free',)",5
"('unlinked',)",5
"('unavailability.it',)",5
"('rfc',)",5
"('re-runing',)",5
"('need',)",5
"('correctly',)",5
"('locking',)",5
"('hang',)",5
"('help',)",5
"('first',)",5
"('admin',)",5
"('order',)",5
"('sql',)",5
"('mdl',)",5
"('change',)",5
"('sucessfully',)",5
"('file.hence',)",5
"('unavailaility',)",4
"('unailability',)",4
"('bad',)",4
"('succefully',)",4
"('performance',)",4
"('adn',)",4
"('skipped',)",4
"('continued',)",4
"('over-running',)",4
"('breached',)",4
"('dropped',)",4
"('temp',)",4
"('abend',)",4
"('succesful',)",4
"('ambiguos',)",4
"('changing',)",4
"('issue.completed',)",4
"('substitution',)",4
"('parameter',)",4
"('disconnected',)",4
"('events',)",4
"('lh',)",4
"('batched',)",4
"('connecitvity',)",4
"('theen',)",4
"('already',)",4
"('lock.script',)",4
"('step',)",4
"('reun',)",4
"('tables',)",4
"('staging',)",4
"('record',)",4
"('event',)",4
"('brj.we',)",4
"('one',)",4
"('ssis',)",4
"('related',)",4
"('terminated',)",4
"('intimated',)",4
"('housekeeping',)",4
"('address',)",4
"('deadlines',)",4
"('slowly',)",4
"('reset',)",4
"('jon',)",4
"('matching',)",4
"('canceled',)",4
"('.i.e',)",4
"('lock.we',)",4
"('occuured',)",4
"('issus',)",4
"('resolve',)",4
"('saa',)",4
"('backup',)",3
"('dupllicate/null/invalid',)",3
"('resoved',)",3
"('production',)",3
"('backened',)",3
"('new',)",3
"('unavailability.the',)",3
"('made',)",3
"('getting',)",3
"('locked.completed',)",3
"('planned',)",3
"('carried',)",3
"('executing',)",3
"('faield',)",3
"('archieve',)",3
"('lcok',)",3
"('connectivitity',)",3
"('exception',)",3
"('thus',)",3
"('jo',)",3
"('communication',)",3
"('unavailbility',)",3
"('contains',)",3
"('unwanted',)",3
"('expired',)",3
"('slow',)",3
"('re-exection',)",3
"('start',)",3
"('issue.job',)",3
"('entries',)",3
"('isuse',)",3
"('decommissioned',)",3
"('unknown',)",3
"('room',)",3
"('adding',)",3
"('field',)",3
"('resend',)",3
"('re-processing',)",3
"('td/tods',)",3
"('3',)",3
"('three',)",3
"('--',)",3
"('isse',)",3
"('gets',)",3
"('bi',)",3
"('unlink',)",3
"('currently',)",3
"('reexecuting',)",3
"('column',)",3
"('schedulre',)",3
"('house',)",3
"('keeping',)",3
"('hdp',)",3
"('catch',)",3
"('tomorrow',)",3
"('sucessful',)",3
"('succssfully',)",3
"('receive',)",3
"('regular',)",3
"('basis',)",3
"('21',)",3
"('asked',)",3
"('input',)",3
"('sas',)",3
"('found',)",2
"('error.completed',)",2
"('reference',)",2
"('fixing',)",2
"('duplicate/null',)",2
"('values/',)",2
"('usual',)",2
"('able',)",2
"('connect',)",2
"('archieval',)",2
"('teh',)",2
"('loaded',)",2
"('sp',)",2
"('cancelling',)",2
"('hene',)",2
"('canceelled',)",2
"('error.re-executed',)",2
"('triggred',)",2
"('activity',)",2
"('delated',)",2
"('relelased',)",2
"('issue.deleted',)",2
"('collected',)",2
"('runningthe',)",2
"('scripts',)",2
"('looking',)",2
"('moload',)",2
"('backlog',)",2
"('blocking',)",2
"('stamp',)",2
"('job.the',)",2
"('.which',)",2
"('created',)",2
"('id',)",2
"('middle',)",2
"('processing',)",2
"('based',)",2
"('isssue',)",2
"('99',)",2
"('manullay',)",2
"('working',)",2
"('reerun',)",2
"('ems/dev',)",2
"('5',)",2
"('minutes',)",2
"('todays',)",2
"('issue.executed',)",2
"('duplicates.so',)",2
"('file.we',)",2
"('services',)",2
"('nad',)",2
"('per',)",2
"('taking',)",2
"('exeception',)",2
"('brite',)",2
"('on-rerunning',)",2
"('sml',)",2
"('4:15',)",2
"('procedure',)",2
"('progress',)",2
"('addressed',)",2
"('sleep',)",2
"('mannualy',)",2
"('allocated',)",2
"('``',)",2
"(""''"",)",2
"('beacon',)",2
"('complex',)",2
"('immediately',)",2
"('initial',)",2
"('liase',)",2
"('parallel',)",2
"('daily',)",2
"('c',)",2
"('liainsg',)",2
"('providing',)",2
"('laising',)",2
"('execute',)",2
"('schedueler',)",2
"('mismatch.have',)",2
"('rexecuted',)",2
"('steam',)",2
"('failed.success',)",2
"('details',)",2
"('given',)",2
"('warning',)",2
"('incidents',)",2
"('/sas/data/work/',)",2
"('20',)",2
"('jopb',)",2
"('sucessfun',)",2
"('dataset',)",2
"('locekd',)",2
job,1
re-run,1
"('isue',)",1
"('disk',)",1
"('timeeout',)",1
"('existence',)",1
"('scheduls',)",1
"('enxt',)",1
"('namepipe',)",1
"('completing',)",1
"('creating',)",1
"('arm',)",1
"('frond',)",1
"('w.r.to',)",1
"('cmd',)",1
"('clocing',)",1
"('comfirmed',)",1
"('extra',)",1
"('error.then',)",1
"('execueted',)",1
"('completeled',)",1
"('loack',)",1
"('called',)",1
"('validity.the',)",1
"('re-reran',)",1
"('con',)",1
"('sulting',)",1
"('team.the',)",1
"('udated',)",1
"('runon',)",1
"('sundays.it',)",1
"('bandwidth',)",1
"('tanle',)",1
"('maestro',)",1
"('th',)",1
"('stop',)",1
"('permanent',)",1
"('csi',)",1
"('task',)",1
"('csitask00001054',)",1
"('undergoing',)",1
"('thsi',)",1
"('switchedoff',)",1
"('two',)",1
"('scheduled',)",1
"('login-timeout',)",1
"('moving',)",1
"('loacked',)",1
"('duee',)",1
"('fixeed',)",1
"('completeed',)",1
"('close',)",1
"('successfulyy',)",1
"('dupliacates',)",1
"('dupliactes',)",1
"('ststs',)",1
"('failure.completed',)",1
"('complted',)",1
"('duplciates',)",1
"('clearing',)",1
"('self-locked',)",1
"('duplicates.completed',)",1
"('unique',)",1
"('constraint',)",1
"('violated',)",1
"('dauplicate',)",1
"('definition',)",1
"('main',)",1
"('steps',)",1
"('ignored',)",1
"('actvitiy',)",1
"('please',)",1
"('dont',)",1
"('raise',)",1
"('application',)",1
"('ffixed',)",1
"('little',)",1
"('large',)",1
"('blocked',)",1
"('checked',)",1
"('queries.the',)",1
"('shcdule',)",1
"('cpmp',)",1
"('leted',)",1
"('timestam.the',)",1
"('.the',)",1
"('resolving',)",1
"('file.source',)",1
"('sent',)",1
"('lock.completed',)",1
"('adhoc',)",1
"('slef',)",1
"('successfullly',)",1
"('attribute',)",1
"('edw',)",1
"('raising',)",1
"('successully',)",1
"('receving',)",1
"('values.the',)",1
"('enviroment',)",1
"('re-excecuted',)",1
"('completed.succesfully',)",1
"('handled',)",1
"('conneection',)",1
"('lost',)",1
"('root',)",1
"('assignement',)",1
"('monthly',)",1
"('whenever',)",1
"('needed',)",1
"('etq',)",1
"('move',)",1
"('chnage',)",1
"('runnng',)",1
"('completd',)",1
"('managing',)",1
"('ticket',)",1
"('delted',)",1
"('monday',)",1
"('weekly',)",1
"('dev/source',)",1
"('oout',)",1
"('failed.tods',)",1
"('erro',)",1
"('aaraise',)",1
"('wehave',)",1
"('side.so',)",1
"('lockout',)",1
"('reesolved',)",1
"('scope',)",1
"('correcting',)",1
"('withsource',)",1
"('went',)",1
"('ot',)",1
"('backed',)",1
"('tmp',)",1
"('inserted',)",1
"('numeric',)",1
"('overflow',)",1
"('pending',)",1
"('team.once',)",1
"('procedd',)",1
"('discussion',)",1
"('timed-out',)",1
"('20:00',)",1
"('20:55',)",1
"('bst',)",1
"('liaisng',)",1
"('informing',)",1
"('wrong',)",1
"('nextday',)",1
"('business',)",1
"('liainsing',)",1
"('causing',)",1
"('satging',)",1
"('every',)",1
"('week',)",1
"('liaise',)",1
"('continue',)",1
"('particular',)",1
"('cleansed',)",1
"('3days',)",1
"('reboot',)",1
"('investigating',)",1
"('jobfailed',)",1
"('mannaully',)",1
"('parsing',)",1
"('restarte',)",1
"('successfuly',)",1
"('cm',)",1
"('deployment',)",1
"('issue.killed',)",1
"('carry',)",1
"('0kb',)",1
"('reprocess',)",1
"('jot',)",1
"('failed.so',)",1
"('wapph005p01',)",1
"('accessible',)",1
"('present',)",1
"('collecting',)",1
"('fast',)",1
"('re-created',)",1
"('stamp.we',)",1
"('effected',)",1
"('jib',)",1
"('transform',)",1
"('erred',)",1
"('hours',)",1
"('releases',)",1
"('brp',)",1
"('sequentially',)",1
"('unavailibilty',)",1
"('corresponding',)",1
"('previos',)",1
"('current',)",1
"('seperately',)",1
"('tried',)",1
"('command',)",1
"('line',)",1
"('marking',)",1
"('inbrj',)",1
"('full',)",1
"('extractor',)",1
"('run.we',)",1
"('rectify',)",1
"('acttioned',)",1
"('accordingly',)",1
"('replacing',)",1
"('responding',)",1
"('site',)",1
"('suceessfully',)",1
"('needs',)",1
"('devteam',)",1
"('set',)",1
"('extracted',)",1
"('validataion',)",1
"('properly',)",1
"('without',)",1
"('dependency',)",1
"('applications',)",1
"('inlast',)",1
"('redwood',)",1
"('following',)",1
"('liainsfg',)",1
"('reprocssed',)",1
"('gludad',)",1
"('schdelue',)",1
"('news',)",1
"('added',)",1
"('lapsed',)",1
"('contract',)",1
"('patching.previsouly',)",1
"('triigered',)",1
"('via',)",1
"('management',)",1
"('console.so',)",1
"('fail',)",1
"('affceting',)",1
"('ths',)",1
"('maid',)",1
"('qac',)",1
"('quotes',)",1
"('held.now',)",1
"('feed',)",1
"('used',)",1
"('trigfered',)",1
"('collects',)",1
"('let',)",1
"('qas',)",1
"('tbloaded',)",1
"('cluster',)",1
"('manage',)",1
"('effectiveness',)",1
"('incoorect',)",1
"('teradtaa',)",1
"('ws',)",1
"('look',)",1
"('successfully.after',)",1
"('datetime',)",1
"('pulled',)",1
"('unzipping',)",1
"('file.the',)",1
"('tbuild',)",1
"('older',)",1
"('sessions',)",1
"('scuessfully',)",1
"('sbi',)",1
"('thanks',)",1
"('nagapriya',)",1
"('reporcessed',)",1
"('unavailablitiy',)",1
"('mlock',)",1
"('less',)",1
"('edwprdt_tmp',)",1
"('pointing',)",1
"('beacuse',)",1
"('issue.this',)",1
"('longrunning',)",1
"('timestamp',)",1
"('dataa',)",1
"('deletion',)",1
"('mloa',)",1
"('dissue',)",1
"('reurn',)",1
"('manully',)",1
"('reprcessed',)",1
"('sorted',)",1
"('completely',)",1
"('dead-lock',)",1
"('td/bod',)",1
"('yesterday',)",1
"('transferred',)",1
"('rr11',)",1
"('0',)",1
"('kb',)",1
"('kill',)",1
"('high',)",1
"('cpu',)",1
"('usage',)",1
"('eg',)",1
"('tea',)",1
"('increase',)",1
"('rr12',)",1
"('arrival.success',)",1
"('host',)",1
"('key',)",1
"('delete',)",1
"('yet',)",1
"('file.success',)",1
